,cell,long,lat,order,hole,piece,group,Mean_veg
225,109189,-79.273101611753,-3.34780770715905,1,FALSE,1,109189.1,0.181830476190476
226,109189,-79.5346700639599,-3.48301033546455,2,FALSE,1,109189.1,0.181830476190476
227,109189,-79.7958123696178,-3.35043668358515,3,FALSE,1,109189.1,0.181830476190476
228,109189,-79.7953952554217,-3.08255186099602,4,FALSE,1,109189.1,0.181830476190476
229,109189,-79.5340485712599,-2.94743936760377,5,FALSE,1,109189.1,0.181830476190476
230,109189,-79.2728958103441,-3.08012256180667,6,FALSE,1,109189.1,0.181830476190476
231,109189,-79.273101611753,-3.34780770715905,7,FALSE,1,109189.1,0.181830476190476
232,109268,-80.320368817691,-4.15694201290759,1,FALSE,1,109268.1,0.205490677966102
233,109268,-80.5822782203816,-4.29244847340957,2,FALSE,1,109268.1,0.205490677966102
234,109268,-80.8431253146001,-4.15994785263277,3,FALSE,1,109268.1,0.205490677966102
235,109268,-80.8420516084995,-3.89183871755468,4,FALSE,1,109268.1,0.205490677966102
236,109268,-80.5804127396629,-3.75640303674529,5,FALSE,1,109268.1,0.205490677966102
237,109268,-80.3195749792724,-3.88900690525534,6,FALSE,1,109268.1,0.205490677966102
238,109268,-80.320368817691,-4.15694201290759,7,FALSE,1,109268.1,0.205490677966102
239,109269,-79.5350198393111,-3.75073611216803,1,FALSE,1,109269.1,0.140806818181818
240,109269,-79.7967513892646,-3.88608080905898,2,FALSE,1,109269.1,0.140806818181818
241,109269,-80.0578956025797,-3.75361449436021,3,FALSE,1,109269.1,0.140806818181818
242,109269,-80.0573046987378,-3.48569723192499,4,FALSE,1,109269.1,0.140806818181818
243,109269,-79.7958123696178,-3.35043668358515,5,FALSE,1,109269.1,0.140806818181818
244,109269,-79.5346700639599,-3.48301033546455,6,FALSE,1,109269.1,0.140806818181818
245,109269,-79.5350198393111,-3.75073611216803,7,FALSE,1,109269.1,0.140806818181818
246,109270,-78.7499999996538,-3.34510104481921,1,FALSE,1,109270.1,0.167971
247,109270,-79.0116548961015,-3.48024187347039,2,FALSE,1,109270.1,0.167971
248,109270,-79.273101611753,-3.34780770715905,3,FALSE,1,109270.1,0.167971
249,109270,-79.2728958103441,-3.08012256180667,4,FALSE,1,109270.1,0.167971
250,109270,-79.0114504199406,-2.94507730667695,5,FALSE,1,109270.1,0.167971
251,109270,-78.7499999996608,-3.07762264875378,6,FALSE,1,109270.1,0.167971
252,109270,-78.7499999996538,-3.34510104481921,7,FALSE,1,109270.1,0.167971
253,109349,-80.5833048781502,-4.56038560189826,1,FALSE,1,109349.1,0.157902272727273
254,109349,-80.8454889754984,-4.69598649052744,2,FALSE,1,109349.1,0.157902272727273
255,109349,-81.1063601393777,-4.56358594814085,3,FALSE,1,109349.1,0.157902272727273
256,109349,-81.1050207775635,-4.29548578395345,4,FALSE,1,109349.1,0.157902272727273
257,109349,-80.8431253146001,-4.15994785263277,5,FALSE,1,109349.1,0.157902272727273
258,109349,-80.5822782203816,-4.29244847340957,6,FALSE,1,109349.1,0.157902272727273
259,109349,-80.5833048781502,-4.56038560189826,7,FALSE,1,109349.1,0.157902272727273
260,109350,-79.797273373759,-4.15383362089772,1,FALSE,1,109350.1,0.202713392857143
